ssid,quality,signal,mac,square
AP-00,62/70,-48,98:DE:D0:8F:0A:38,s-02
AP-01,52/70,-58,D8:07:B6:6E:4E:F4,s-02
AP-02,70/70,-24,D8:07:B6:6E:4F:80,s-02
AP-03,44/70,-66,D8:07:B6:6E:4E:0A,s-02
AP-04,70/70,-38,D8:07:B6:6E:4D:A6,s-02
AP-05,70/70,-32,D8:07:B6:6E:4B:E8,s-02
AP-06,70/70,-32,D8:07:B6:6E:4F:8C,s-02
AP-07,56/70,-54,50:04:B8:89:A4:F4,s-02
AP-08,40/70,-70,58:7F:66:BF:D2:98,s-02
AP-00,50/70,-60,98:DE:D0:8F:0A:38,s-02
AP-01,52/70,-58,D8:07:B6:6E:4E:F4,s-02
AP-02,70/70,-28,D8:07:B6:6E:4F:80,s-02
AP-03,70/70,-40,D8:07:B6:6E:4E:0A,s-02
AP-04,70/70,-38,D8:07:B6:6E:4D:A6,s-02
AP-05,70/70,-32,D8:07:B6:6E:4B:E8,s-02
AP-06,70/70,-24,D8:07:B6:6E:4F:8C,s-02
AP-07,52/70,-58,50:04:B8:89:A4:F4,s-02
AP-08,42/70,-68,58:7F:66:BF:D2:98,s-02
AP-00,50/70,-60,98:DE:D0:8F:0A:38,s-02
AP-01,52/70,-58,D8:07:B6:6E:4E:F4,s-02
AP-02,70/70,-22,D8:07:B6:6E:4F:80,s-02
AP-03,64/70,-46,D8:07:B6:6E:4E:0A,s-02
AP-04,70/70,-38,D8:07:B6:6E:4D:A6,s-02
AP-05,70/70,-32,D8:07:B6:6E:4B:E8,s-02
AP-06,70/70,-24,D8:07:B6:6E:4F:8C,s-02
AP-07,52/70,-58,50:04:B8:89:A4:F4,s-02
AP-08,50/70,-60,58:7F:66:BF:D2:98,s-02
AP-00,46/70,-64,98:DE:D0:8F:0A:38,s-02
AP-01,52/70,-58,D8:07:B6:6E:4E:F4,s-02
AP-02,70/70,-20,D8:07:B6:6E:4F:80,s-02
AP-03,68/70,-42,D8:07:B6:6E:4E:0A,s-02
AP-04,70/70,-34,D8:07:B6:6E:4D:A6,s-02
AP-05,70/70,-32,D8:07:B6:6E:4B:E8,s-02
AP-06,70/70,-24,D8:07:B6:6E:4F:8C,s-02
AP-07,52/70,-58,50:04:B8:89:A4:F4,s-02
AP-08,46/70,-64,58:7F:66:BF:D2:98,s-02
AP-00,46/70,-64,98:DE:D0:8F:0A:38,s-02
AP-01,52/70,-58,D8:07:B6:6E:4E:F4,s-02
AP-02,70/70,-22,D8:07:B6:6E:4F:80,s-02
AP-03,66/70,-44,D8:07:B6:6E:4E:0A,s-02
AP-04,70/70,-36,D8:07:B6:6E:4D:A6,s-02
AP-05,70/70,-32,D8:07:B6:6E:4B:E8,s-02
AP-06,70/70,-32,D8:07:B6:6E:4F:8C,s-02
AP-07,52/70,-58,50:04:B8:89:A4:F4,s-02
AP-08,50/70,-60,58:7F:66:BF:D2:98,s-02
AP-00,46/70,-64,98:DE:D0:8F:0A:38,s-02
AP-01,52/70,-58,D8:07:B6:6E:4E:F4,s-02
AP-02,70/70,-20,D8:07:B6:6E:4F:80,s-02
AP-03,66/70,-44,D8:07:B6:6E:4E:0A,s-02
AP-04,70/70,-30,D8:07:B6:6E:4D:A6,s-02
AP-05,70/70,-32,D8:07:B6:6E:4B:E8,s-02
AP-06,70/70,-32,D8:07:B6:6E:4F:8C,s-02
AP-07,44/70,-66,50:04:B8:89:A4:F4,s-02
AP-08,48/70,-62,58:7F:66:BF:D2:98,s-02
AP-00,46/70,-64,98:DE:D0:8F:0A:38,s-02
AP-01,52/70,-58,D8:07:B6:6E:4E:F4,s-02
AP-02,70/70,-20,D8:07:B6:6E:4F:80,s-02
AP-03,66/70,-44,D8:07:B6:6E:4E:0A,s-02
AP-04,70/70,-30,D8:07:B6:6E:4D:A6,s-02
AP-05,70/70,-32,D8:07:B6:6E:4B:E8,s-02
AP-06,70/70,-32,D8:07:B6:6E:4F:8C,s-02
AP-07,48/70,-62,50:04:B8:89:A4:F4,s-02
AP-08,48/70,-62,58:7F:66:BF:D2:98,s-02
AP-00,68/70,-42,98:DE:D0:8F:0A:38,s-02
AP-01,42/70,-68,D8:07:B6:6E:4E:F4,s-02
AP-02,70/70,-20,D8:07:B6:6E:4F:80,s-02
AP-03,66/70,-44,D8:07:B6:6E:4E:0A,s-02
AP-04,70/70,-30,D8:07:B6:6E:4D:A6,s-02
AP-05,70/70,-34,D8:07:B6:6E:4B:E8,s-02
AP-06,70/70,-32,D8:07:B6:6E:4F:8C,s-02
AP-07,48/70,-62,50:04:B8:89:A4:F4,s-02
AP-08,46/70,-64,58:7F:66:BF:D2:98,s-02
AP-00,66/70,-44,98:DE:D0:8F:0A:38,s-02
AP-01,42/70,-68,D8:07:B6:6E:4E:F4,s-02
AP-02,70/70,-22,D8:07:B6:6E:4F:80,s-02
AP-03,66/70,-44,D8:07:B6:6E:4E:0A,s-02
AP-04,70/70,-30,D8:07:B6:6E:4D:A6,s-02
AP-05,70/70,-34,D8:07:B6:6E:4B:E8,s-02
AP-06,70/70,-32,D8:07:B6:6E:4F:8C,s-02
AP-07,48/70,-62,50:04:B8:89:A4:F4,s-02
AP-08,46/70,-64,58:7F:66:BF:D2:98,s-02
AP-00,66/70,-44,98:DE:D0:8F:0A:38,s-02
AP-01,56/70,-54,D8:07:B6:6E:4E:F4,s-02
AP-02,70/70,-22,D8:07:B6:6E:4F:80,s-02
AP-03,68/70,-42,D8:07:B6:6E:4E:0A,s-02
AP-04,70/70,-30,D8:07:B6:6E:4D:A6,s-02
AP-05,70/70,-28,D8:07:B6:6E:4B:E8,s-02
AP-06,70/70,-32,D8:07:B6:6E:4F:8C,s-02
AP-07,46/70,-64,50:04:B8:89:A4:F4,s-02
AP-08,46/70,-64,58:7F:66:BF:D2:98,s-02
AP-00,66/70,-44,98:DE:D0:8F:0A:38,s-02
AP-01,56/70,-54,D8:07:B6:6E:4E:F4,s-02
AP-02,70/70,-24,D8:07:B6:6E:4F:80,s-02
AP-03,54/70,-56,D8:07:B6:6E:4E:0A,s-02
AP-04,70/70,-30,D8:07:B6:6E:4D:A6,s-02
AP-05,70/70,-28,D8:07:B6:6E:4B:E8,s-02
AP-06,70/70,-28,D8:07:B6:6E:4F:8C,s-02
AP-07,32/70,-78,50:04:B8:89:A4:F4,s-02
AP-08,44/70,-66,58:7F:66:BF:D2:98,s-02
AP-00,42/70,-68,98:DE:D0:8F:0A:38,s-02
AP-01,56/70,-54,D8:07:B6:6E:4E:F4,s-02
AP-02,70/70,-22,D8:07:B6:6E:4F:80,s-02
AP-03,54/70,-56,D8:07:B6:6E:4E:0A,s-02
AP-04,70/70,-30,D8:07:B6:6E:4D:A6,s-02
AP-05,70/70,-28,D8:07:B6:6E:4B:E8,s-02
AP-06,70/70,-28,D8:07:B6:6E:4F:8C,s-02
AP-07,32/70,-78,50:04:B8:89:A4:F4,s-02
AP-08,42/70,-68,58:7F:66:BF:D2:98,s-02
AP-00,42/70,-68,98:DE:D0:8F:0A:38,s-02
AP-01,56/70,-54,D8:07:B6:6E:4E:F4,s-02
AP-02,70/70,-22,D8:07:B6:6E:4F:80,s-02
AP-03,70/70,-40,D8:07:B6:6E:4E:0A,s-02
AP-04,70/70,-30,D8:07:B6:6E:4D:A6,s-02
AP-05,70/70,-28,D8:07:B6:6E:4B:E8,s-02
AP-06,70/70,-28,D8:07:B6:6E:4F:8C,s-02
AP-07,32/70,-78,50:04:B8:89:A4:F4,s-02
AP-08,42/70,-68,58:7F:66:BF:D2:98,s-02
AP-00,68/70,-42,98:DE:D0:8F:0A:38,s-02
AP-01,56/70,-54,D8:07:B6:6E:4E:F4,s-02
AP-02,70/70,-20,D8:07:B6:6E:4F:80,s-02
AP-03,66/70,-44,D8:07:B6:6E:4E:0A,s-02
AP-04,70/70,-34,D8:07:B6:6E:4D:A6,s-02
AP-05,70/70,-28,D8:07:B6:6E:4B:E8,s-02
AP-06,70/70,-30,D8:07:B6:6E:4F:8C,s-02
AP-07,32/70,-78,50:04:B8:89:A4:F4,s-02
AP-08,48/70,-62,58:7F:66:BF:D2:98,s-02
AP-00,68/70,-42,98:DE:D0:8F:0A:38,s-02
AP-01,56/70,-54,D8:07:B6:6E:4E:F4,s-02
AP-02,70/70,-20,D8:07:B6:6E:4F:80,s-02
AP-03,66/70,-44,D8:07:B6:6E:4E:0A,s-02
AP-04,70/70,-34,D8:07:B6:6E:4D:A6,s-02
AP-05,70/70,-28,D8:07:B6:6E:4B:E8,s-02
AP-06,70/70,-28,D8:07:B6:6E:4F:8C,s-02
AP-07,32/70,-78,50:04:B8:89:A4:F4,s-02
AP-08,48/70,-62,58:7F:66:BF:D2:98,s-02
AP-00,56/70,-54,98:DE:D0:8F:0A:38,s-02
AP-01,50/70,-60,D8:07:B6:6E:4E:F4,s-02
AP-02,70/70,-30,D8:07:B6:6E:4F:80,s-02
AP-03,66/70,-44,D8:07:B6:6E:4E:0A,s-02
AP-04,70/70,-36,D8:07:B6:6E:4D:A6,s-02
AP-05,70/70,-28,D8:07:B6:6E:4B:E8,s-02
AP-06,70/70,-30,D8:07:B6:6E:4F:8C,s-02
AP-07,50/70,-60,50:04:B8:89:A4:F4,s-02
AP-08,48/70,-62,58:7F:66:BF:D2:98,s-02
AP-00,52/70,-58,98:DE:D0:8F:0A:38,s-02
AP-01,50/70,-60,D8:07:B6:6E:4E:F4,s-02
AP-02,70/70,-22,D8:07:B6:6E:4F:80,s-02
AP-03,66/70,-44,D8:07:B6:6E:4E:0A,s-02
AP-04,70/70,-34,D8:07:B6:6E:4D:A6,s-02
AP-05,70/70,-30,D8:07:B6:6E:4B:E8,s-02
AP-06,70/70,-32,D8:07:B6:6E:4F:8C,s-02
AP-07,48/70,-62,50:04:B8:89:A4:F4,s-02
AP-08,48/70,-62,58:7F:66:BF:D2:98,s-02
AP-00,52/70,-58,98:DE:D0:8F:0A:38,s-02
AP-01,52/70,-58,D8:07:B6:6E:4E:F4,s-02
AP-02,70/70,-24,D8:07:B6:6E:4F:80,s-02
AP-03,68/70,-42,D8:07:B6:6E:4E:0A,s-02
AP-04,70/70,-34,D8:07:B6:6E:4D:A6,s-02
AP-05,70/70,-32,D8:07:B6:6E:4B:E8,s-02
AP-06,70/70,-32,D8:07:B6:6E:4F:8C,s-02
AP-07,48/70,-62,50:04:B8:89:A4:F4,s-02
AP-08,48/70,-62,58:7F:66:BF:D2:98,s-02
AP-00,52/70,-58,98:DE:D0:8F:0A:38,s-02
AP-01,52/70,-58,D8:07:B6:6E:4E:F4,s-02
AP-02,70/70,-22,D8:07:B6:6E:4F:80,s-02
AP-03,68/70,-42,D8:07:B6:6E:4E:0A,s-02
AP-04,70/70,-34,D8:07:B6:6E:4D:A6,s-02
AP-05,70/70,-32,D8:07:B6:6E:4B:E8,s-02
AP-06,70/70,-30,D8:07:B6:6E:4F:8C,s-02
AP-07,46/70,-64,50:04:B8:89:A4:F4,s-02
AP-08,48/70,-62,58:7F:66:BF:D2:98,s-02
AP-00,52/70,-58,98:DE:D0:8F:0A:38,s-02
AP-01,52/70,-58,D8:07:B6:6E:4E:F4,s-02
AP-02,70/70,-24,D8:07:B6:6E:4F:80,s-02
AP-03,68/70,-42,D8:07:B6:6E:4E:0A,s-02
AP-04,70/70,-36,D8:07:B6:6E:4D:A6,s-02
AP-05,70/70,-32,D8:07:B6:6E:4B:E8,s-02
AP-06,70/70,-30,D8:07:B6:6E:4F:8C,s-02
AP-07,46/70,-64,50:04:B8:89:A4:F4,s-02
AP-08,46/70,-64,58:7F:66:BF:D2:98,s-02
AP-00,52/70,-58,98:DE:D0:8F:0A:38,s-02
AP-01,52/70,-58,D8:07:B6:6E:4E:F4,s-02
AP-02,70/70,-24,D8:07:B6:6E:4F:80,s-02
AP-03,66/70,-44,D8:07:B6:6E:4E:0A,s-02
AP-04,70/70,-36,D8:07:B6:6E:4D:A6,s-02
AP-05,70/70,-34,D8:07:B6:6E:4B:E8,s-02
AP-06,70/70,-28,D8:07:B6:6E:4F:8C,s-02
AP-07,48/70,-62,50:04:B8:89:A4:F4,s-02
AP-08,38/70,-72,58:7F:66:BF:D2:98,s-02
AP-00,52/70,-58,98:DE:D0:8F:0A:38,s-02
AP-01,52/70,-58,D8:07:B6:6E:4E:F4,s-02
AP-02,70/70,-22,D8:07:B6:6E:4F:80,s-02
AP-03,70/70,-40,D8:07:B6:6E:4E:0A,s-02
AP-04,70/70,-36,D8:07:B6:6E:4D:A6,s-02
AP-05,70/70,-34,D8:07:B6:6E:4B:E8,s-02
AP-06,70/70,-28,D8:07:B6:6E:4F:8C,s-02
AP-07,48/70,-62,50:04:B8:89:A4:F4,s-02
AP-08,44/70,-66,58:7F:66:BF:D2:98,s-02
AP-00,60/70,-50,98:DE:D0:8F:0A:38,s-02
AP-01,54/70,-56,D8:07:B6:6E:4E:F4,s-02
AP-02,70/70,-20,D8:07:B6:6E:4F:80,s-02
AP-03,68/70,-42,D8:07:B6:6E:4E:0A,s-02
AP-04,70/70,-34,D8:07:B6:6E:4D:A6,s-02
AP-05,70/70,-28,D8:07:B6:6E:4B:E8,s-02
AP-06,70/70,-30,D8:07:B6:6E:4F:8C,s-02
AP-07,48/70,-62,50:04:B8:89:A4:F4,s-02
AP-08,46/70,-64,58:7F:66:BF:D2:98,s-02
AP-00,60/70,-50,98:DE:D0:8F:0A:38,s-02
AP-01,54/70,-56,D8:07:B6:6E:4E:F4,s-02
AP-02,70/70,-20,D8:07:B6:6E:4F:80,s-02
AP-03,68/70,-42,D8:07:B6:6E:4E:0A,s-02
AP-04,70/70,-30,D8:07:B6:6E:4D:A6,s-02
AP-05,70/70,-32,D8:07:B6:6E:4B:E8,s-02
AP-06,70/70,-32,D8:07:B6:6E:4F:8C,s-02
AP-07,50/70,-60,50:04:B8:89:A4:F4,s-02
AP-08,48/70,-62,58:7F:66:BF:D2:98,s-02
AP-00,66/70,-44,98:DE:D0:8F:0A:38,s-02
AP-01,56/70,-54,D8:07:B6:6E:4E:F4,s-02
AP-02,70/70,-22,D8:07:B6:6E:4F:80,s-02
AP-03,66/70,-44,D8:07:B6:6E:4E:0A,s-02
AP-04,70/70,-30,D8:07:B6:6E:4D:A6,s-02
AP-05,70/70,-32,D8:07:B6:6E:4B:E8,s-02
AP-06,70/70,-32,D8:07:B6:6E:4F:8C,s-02
AP-07,50/70,-60,50:04:B8:89:A4:F4,s-02
AP-08,48/70,-62,58:7F:66:BF:D2:98,s-02
AP-00,64/70,-46,98:DE:D0:8F:0A:38,s-02
AP-01,56/70,-54,D8:07:B6:6E:4E:F4,s-02
AP-02,70/70,-20,D8:07:B6:6E:4F:80,s-02
AP-03,66/70,-44,D8:07:B6:6E:4E:0A,s-02
AP-04,70/70,-30,D8:07:B6:6E:4D:A6,s-02
AP-05,70/70,-32,D8:07:B6:6E:4B:E8,s-02
AP-06,70/70,-32,D8:07:B6:6E:4F:8C,s-02
AP-07,50/70,-60,50:04:B8:89:A4:F4,s-02
AP-08,48/70,-62,58:7F:66:BF:D2:98,s-02
AP-00,64/70,-46,98:DE:D0:8F:0A:38,s-02
AP-01,56/70,-54,D8:07:B6:6E:4E:F4,s-02
AP-02,70/70,-24,D8:07:B6:6E:4F:80,s-02
AP-03,68/70,-42,D8:07:B6:6E:4E:0A,s-02
AP-04,70/70,-34,D8:07:B6:6E:4D:A6,s-02
AP-05,70/70,-26,D8:07:B6:6E:4B:E8,s-02
AP-06,40/70,-70,D8:07:B6:6E:4F:8C,s-02
AP-07,46/70,-64,50:04:B8:89:A4:F4,s-02
AP-08,48/70,-62,58:7F:66:BF:D2:98,s-02
AP-00,68/70,-42,98:DE:D0:8F:0A:38,s-02
AP-01,54/70,-56,D8:07:B6:6E:4E:F4,s-02
AP-02,70/70,-24,D8:07:B6:6E:4F:80,s-02
AP-03,68/70,-42,D8:07:B6:6E:4E:0A,s-02
AP-04,56/70,-54,D8:07:B6:6E:4D:A6,s-02
AP-05,70/70,-26,D8:07:B6:6E:4B:E8,s-02
AP-06,70/70,-30,D8:07:B6:6E:4F:8C,s-02
AP-07,42/70,-68,50:04:B8:89:A4:F4,s-02
AP-08,52/70,-58,58:7F:66:BF:D2:98,s-02
AP-00,68/70,-42,98:DE:D0:8F:0A:38,s-02
AP-01,54/70,-56,D8:07:B6:6E:4E:F4,s-02
AP-02,70/70,-24,D8:07:B6:6E:4F:80,s-02
AP-03,66/70,-44,D8:07:B6:6E:4E:0A,s-02
AP-04,56/70,-54,D8:07:B6:6E:4D:A6,s-02
AP-05,70/70,-26,D8:07:B6:6E:4B:E8,s-02
AP-06,70/70,-28,D8:07:B6:6E:4F:8C,s-02
AP-07,42/70,-68,50:04:B8:89:A4:F4,s-02
AP-08,52/70,-58,58:7F:66:BF:D2:98,s-02
AP-00,68/70,-42,98:DE:D0:8F:0A:38,s-02
AP-01,62/70,-48,D8:07:B6:6E:4E:F4,s-02
AP-02,70/70,-24,D8:07:B6:6E:4F:80,s-02
AP-03,62/70,-48,D8:07:B6:6E:4E:0A,s-02
AP-04,38/70,-72,D8:07:B6:6E:4D:A6,s-02
AP-05,70/70,-28,D8:07:B6:6E:4B:E8,s-02
AP-06,70/70,-30,D8:07:B6:6E:4F:8C,s-02
AP-07,52/70,-58,50:04:B8:89:A4:F4,s-02
AP-08,44/70,-66,58:7F:66:BF:D2:98,s-02
AP-00,64/70,-46,98:DE:D0:8F:0A:38,s-02
AP-01,62/70,-48,D8:07:B6:6E:4E:F4,s-02
AP-02,70/70,-24,D8:07:B6:6E:4F:80,s-02
AP-03,64/70,-46,D8:07:B6:6E:4E:0A,s-02
AP-04,38/70,-72,D8:07:B6:6E:4D:A6,s-02
AP-05,70/70,-28,D8:07:B6:6E:4B:E8,s-02
AP-06,70/70,-30,D8:07:B6:6E:4F:8C,s-02
AP-07,52/70,-58,50:04:B8:89:A4:F4,s-02
AP-08,44/70,-66,58:7F:66:BF:D2:98,s-02
AP-00,64/70,-46,98:DE:D0:8F:0A:38,s-02
AP-01,60/70,-50,D8:07:B6:6E:4E:F4,s-02
AP-02,70/70,-24,D8:07:B6:6E:4F:80,s-02
AP-03,66/70,-44,D8:07:B6:6E:4E:0A,s-02
AP-04,38/70,-72,D8:07:B6:6E:4D:A6,s-02
AP-05,70/70,-28,D8:07:B6:6E:4B:E8,s-02
AP-06,70/70,-30,D8:07:B6:6E:4F:8C,s-02
AP-07,48/70,-62,50:04:B8:89:A4:F4,s-02
AP-08,50/70,-60,58:7F:66:BF:D2:98,s-02
AP-00,64/70,-46,98:DE:D0:8F:0A:38,s-02
AP-01,60/70,-50,D8:07:B6:6E:4E:F4,s-02
AP-02,70/70,-24,D8:07:B6:6E:4F:80,s-02
AP-03,62/70,-48,D8:07:B6:6E:4E:0A,s-02
AP-04,38/70,-72,D8:07:B6:6E:4D:A6,s-02
AP-05,70/70,-30,D8:07:B6:6E:4B:E8,s-02
AP-06,70/70,-32,D8:07:B6:6E:4F:8C,s-02
AP-07,48/70,-62,50:04:B8:89:A4:F4,s-02
AP-08,50/70,-60,58:7F:66:BF:D2:98,s-02
AP-00,64/70,-46,98:DE:D0:8F:0A:38,s-02
AP-01,60/70,-50,D8:07:B6:6E:4E:F4,s-02
AP-02,70/70,-34,D8:07:B6:6E:4F:80,s-02
AP-03,62/70,-48,D8:07:B6:6E:4E:0A,s-02
AP-04,38/70,-72,D8:07:B6:6E:4D:A6,s-02
AP-05,70/70,-34,D8:07:B6:6E:4B:E8,s-02
AP-06,70/70,-32,D8:07:B6:6E:4F:8C,s-02
AP-07,48/70,-62,50:04:B8:89:A4:F4,s-02
AP-08,50/70,-60,58:7F:66:BF:D2:98,s-02
AP-00,64/70,-46,98:DE:D0:8F:0A:38,s-02
AP-01,60/70,-50,D8:07:B6:6E:4E:F4,s-02
AP-02,70/70,-24,D8:07:B6:6E:4F:80,s-02
AP-03,62/70,-48,D8:07:B6:6E:4E:0A,s-02
AP-04,38/70,-72,D8:07:B6:6E:4D:A6,s-02
AP-05,70/70,-34,D8:07:B6:6E:4B:E8,s-02
AP-06,70/70,-38,D8:07:B6:6E:4F:8C,s-02
AP-07,58/70,-52,50:04:B8:89:A4:F4,s-02
AP-08,50/70,-60,58:7F:66:BF:D2:98,s-02
AP-00,64/70,-46,98:DE:D0:8F:0A:38,s-02
AP-01,60/70,-50,D8:07:B6:6E:4E:F4,s-02
AP-02,70/70,-24,D8:07:B6:6E:4F:80,s-02
AP-03,70/70,-28,D8:07:B6:6E:4E:0A,s-02
AP-04,38/70,-72,D8:07:B6:6E:4D:A6,s-02
AP-05,70/70,-34,D8:07:B6:6E:4B:E8,s-02
AP-06,68/70,-42,D8:07:B6:6E:4F:8C,s-02
AP-07,58/70,-52,50:04:B8:89:A4:F4,s-02
AP-08,50/70,-60,58:7F:66:BF:D2:98,s-02
AP-00,66/70,-44,98:DE:D0:8F:0A:38,s-02
AP-01,54/70,-56,D8:07:B6:6E:4E:F4,s-02
AP-02,70/70,-24,D8:07:B6:6E:4F:80,s-02
AP-03,70/70,-28,D8:07:B6:6E:4E:0A,s-02
AP-04,38/70,-72,D8:07:B6:6E:4D:A6,s-02
AP-05,70/70,-34,D8:07:B6:6E:4B:E8,s-02
AP-06,70/70,-32,D8:07:B6:6E:4F:8C,s-02
AP-07,50/70,-60,50:04:B8:89:A4:F4,s-02
AP-08,50/70,-60,58:7F:66:BF:D2:98,s-02
AP-00,68/70,-42,98:DE:D0:8F:0A:38,s-02
AP-01,54/70,-56,D8:07:B6:6E:4E:F4,s-02
AP-02,70/70,-24,D8:07:B6:6E:4F:80,s-02
AP-03,70/70,-28,D8:07:B6:6E:4E:0A,s-02
AP-04,38/70,-72,D8:07:B6:6E:4D:A6,s-02
AP-05,70/70,-34,D8:07:B6:6E:4B:E8,s-02
AP-06,70/70,-36,D8:07:B6:6E:4F:8C,s-02
AP-07,64/70,-46,50:04:B8:89:A4:F4,s-02
AP-08,58/70,-52,58:7F:66:BF:D2:98,s-02
AP-00,54/70,-56,98:DE:D0:8F:0A:38,s-02
AP-01,54/70,-56,D8:07:B6:6E:4E:F4,s-02
AP-02,70/70,-28,D8:07:B6:6E:4F:80,s-02
AP-03,70/70,-30,D8:07:B6:6E:4E:0A,s-02
AP-04,38/70,-72,D8:07:B6:6E:4D:A6,s-02
AP-05,70/70,-32,D8:07:B6:6E:4B:E8,s-02
AP-06,70/70,-36,D8:07:B6:6E:4F:8C,s-02
AP-07,64/70,-46,50:04:B8:89:A4:F4,s-02
AP-08,54/70,-56,58:7F:66:BF:D2:98,s-02
AP-00,56/70,-54,98:DE:D0:8F:0A:38,s-02
AP-01,66/70,-44,D8:07:B6:6E:4E:F4,s-02
AP-02,70/70,-26,D8:07:B6:6E:4F:80,s-02
AP-03,70/70,-32,D8:07:B6:6E:4E:0A,s-02
AP-04,58/70,-52,D8:07:B6:6E:4D:A6,s-02
AP-05,70/70,-30,D8:07:B6:6E:4B:E8,s-02
AP-06,70/70,-36,D8:07:B6:6E:4F:8C,s-02
AP-07,42/70,-68,50:04:B8:89:A4:F4,s-02
AP-08,54/70,-56,58:7F:66:BF:D2:98,s-02
AP-00,56/70,-54,98:DE:D0:8F:0A:38,s-02
AP-01,66/70,-44,D8:07:B6:6E:4E:F4,s-02
AP-02,70/70,-26,D8:07:B6:6E:4F:80,s-02
AP-03,70/70,-30,D8:07:B6:6E:4E:0A,s-02
AP-04,58/70,-52,D8:07:B6:6E:4D:A6,s-02
AP-05,70/70,-30,D8:07:B6:6E:4B:E8,s-02
AP-06,70/70,-36,D8:07:B6:6E:4F:8C,s-02
AP-07,42/70,-68,50:04:B8:89:A4:F4,s-02
AP-08,54/70,-56,58:7F:66:BF:D2:98,s-02
AP-00,56/70,-54,98:DE:D0:8F:0A:38,s-02
AP-01,58/70,-52,D8:07:B6:6E:4E:F4,s-02
AP-02,70/70,-28,D8:07:B6:6E:4F:80,s-02
AP-03,70/70,-32,D8:07:B6:6E:4E:0A,s-02
AP-04,58/70,-52,D8:07:B6:6E:4D:A6,s-02
AP-05,70/70,-30,D8:07:B6:6E:4B:E8,s-02
AP-06,70/70,-36,D8:07:B6:6E:4F:8C,s-02
AP-07,42/70,-68,50:04:B8:89:A4:F4,s-02
AP-08,54/70,-56,58:7F:66:BF:D2:98,s-02
AP-00,56/70,-54,98:DE:D0:8F:0A:38,s-02
AP-01,58/70,-52,D8:07:B6:6E:4E:F4,s-02
AP-02,70/70,-22,D8:07:B6:6E:4F:80,s-02
AP-03,62/70,-48,D8:07:B6:6E:4E:0A,s-02
AP-04,58/70,-52,D8:07:B6:6E:4D:A6,s-02
AP-05,70/70,-32,D8:07:B6:6E:4B:E8,s-02
AP-06,70/70,-36,D8:07:B6:6E:4F:8C,s-02
AP-07,42/70,-68,50:04:B8:89:A4:F4,s-02
AP-08,54/70,-56,58:7F:66:BF:D2:98,s-02
AP-00,56/70,-54,98:DE:D0:8F:0A:38,s-02
AP-01,58/70,-52,D8:07:B6:6E:4E:F4,s-02
AP-02,70/70,-24,D8:07:B6:6E:4F:80,s-02
AP-03,70/70,-28,D8:07:B6:6E:4E:0A,s-02
AP-04,62/70,-48,D8:07:B6:6E:4D:A6,s-02
AP-05,70/70,-34,D8:07:B6:6E:4B:E8,s-02
AP-06,70/70,-40,D8:07:B6:6E:4F:8C,s-02
AP-07,42/70,-68,50:04:B8:89:A4:F4,s-02
AP-08,54/70,-56,58:7F:66:BF:D2:98,s-02
AP-00,56/70,-54,98:DE:D0:8F:0A:38,s-02
AP-01,60/70,-50,D8:07:B6:6E:4E:F4,s-02
AP-02,70/70,-22,D8:07:B6:6E:4F:80,s-02
AP-03,70/70,-28,D8:07:B6:6E:4E:0A,s-02
AP-04,62/70,-48,D8:07:B6:6E:4D:A6,s-02
AP-05,70/70,-24,D8:07:B6:6E:4B:E8,s-02
AP-06,68/70,-42,D8:07:B6:6E:4F:8C,s-02
AP-07,42/70,-68,50:04:B8:89:A4:F4,s-02
AP-08,54/70,-56,58:7F:66:BF:D2:98,s-02
AP-00,56/70,-54,98:DE:D0:8F:0A:38,s-02
AP-01,60/70,-50,D8:07:B6:6E:4E:F4,s-02
AP-02,70/70,-22,D8:07:B6:6E:4F:80,s-02
AP-03,70/70,-32,D8:07:B6:6E:4E:0A,s-02
AP-04,62/70,-48,D8:07:B6:6E:4D:A6,s-02
AP-05,70/70,-22,D8:07:B6:6E:4B:E8,s-02
AP-06,68/70,-42,D8:07:B6:6E:4F:8C,s-02
AP-07,42/70,-68,50:04:B8:89:A4:F4,s-02
AP-08,54/70,-56,58:7F:66:BF:D2:98,s-02
